type,title,content
section,Section 1 - Title and Extent of the Code,"This section provides the official title of the law - 'The Indian Penal Code' - and specifies its geographical extent of application across the territory of India, unless otherwise specified by law.. Punishment: N/A (Interpretive)"
section,Section 2 - Punishment of Offences Committed Within India,"This section establishes the principle of territorial jurisdiction. It states that every person shall be liable to punishment under the Code for any act or omission contrary to its provisions, committed within India.. Punishment: Punishment as per the specific offence committed"
section,"Section 3 - Punishment of Offences Committed Beyond, But Which by Law May Be Tried Within India","This section extends the Code's jurisdiction to offences committed by any person beyond the borders of India, which by Indian law can be tried within India.. Punishment: Punishment as per the specific offence committed"
section,Section 4 - Extension of Code to Extra-Territorial Offences,"This section elaborates on Section 3, specifying that the Code applies to any citizen of India anywhere in the world, any person on a ship or aircraft registered in India, and any person targeting a computer resource in India.. Punishment: Punishment as per the specific offence committed"
section,Section 5 - Certain Laws Not to Be Affected by This Act,"This section clarifies that the IPC does not repeal other special or local laws. It states that the provisions of the IPC are in addition to, and not in derogation of, any other law in force.. Punishment: N/A (Interpretive)"
section,Section 6 - Definitions in the Code to Be Understood Subject to Exceptions,"This section is an interpretive rule. It states that every definition of an offence, every penal provision, and every illustration in the Code shall be understood subject to the general exceptions contained in Chapters IV (Sections 76-106).. Punishment: N/A (Interpretive)"
section,Section 7 - Sense of Expression Once Explained,"This section states that every expression which is explained in any part of the Code is to be used in the same sense throughout the Code, unless the context indicates otherwise.. Punishment: N/A (Interpretive)"
section,Section 8 - Gender,"This section clarifies that unless the context suggests otherwise, the pronoun 'he' and its derivatives (him, his) used in the Code refer to any person, whether male, female, or a non-binary individual.. Punishment: N/A (Interpretive)"
section,Section 9 - Number,"This section states that unless the context indicates otherwise, words in the singular include the plural, and words in the plural include the singular.. Punishment: N/A (Interpretive)"
section,Section 10 - Man / Woman,"This section defines the terms 'man' and 'woman'. It states that the word 'man' denotes a male human being of any age, and the word 'woman' denotes a female human being of any age.. Punishment: N/A (Interpretive)"
section,Section 11 - Person,"This section defines the term 'person'. It includes any company, association, or body of persons, whether incorporated or not. This allows for corporate criminal liability.. Punishment: Punishment as per the specific offence committed (often a fine)"
section,Section 12 - Public,This section defines the word 'public' as including any class of the public or any community.. Punishment: N/A (Interpretive)
section,Section 13 - Queen,"[Repealed] This section, which originally referred to the British monarch, has been omitted from the Code.. Punishment: nan"
section,Section 14 - Servant of Government,"This section defines who is considered a 'servant of Government' or a 'public servant'. It includes officials like judges, military personnel, police officers, and any officer whose duty is to prevent offences, etc.. Punishment: N/A (Interpretive)"
section,Section 15 - British India,"[Repealed] This section, which defined the territories of British India, has been omitted.. Punishment: nan"
section,Section 16 - Government of India,"[Repealed] This section, which referred to the British government, has been omitted.. Punishment: nan"
section,Section 17 - Government,This section defines 'Government' as referring to the Central Government or the Government of a State within the Republic of India.. Punishment: N/A (Interpretive)
section,Section 18 - India,"This section defines 'India' as the territory of India, excluding the state of Jammu and Kashmir (note: this was pre-2019; post Article 370 abrogation, the IPC applies fully to J&K).. Punishment: N/A (Interpretive)"
section,Section 19 - Judge,This section provides a detailed definition of a 'Judge'. It includes not only every person who is officially designated as a Judge but also any person who is empowered by law to give a definitive judgment in any legal proceeding.. Punishment: N/A (Interpretive)
section,Section 20 - Court of Justice,This section defines a 'Court of Justice' as a judge or body of judges empowered by law to act judicially. It can be a single judge and does not require a formal courtroom.. Punishment: N/A (Interpretive)
section,Section 21 - Public Servant,"This section provides an exhaustive list of who is considered a 'public servant'. It includes government officials, judges, officers of the armed forces, police, jurors, and any person holding office to perform a public duty.. Punishment: N/A (Interpretive)"
section,Section 22 - Movable Property,"This section defines 'movable property' as including corporeal property of every description (physical objects), except land and things attached to the earth or permanently fastened to anything attached to the earth.. Punishment: N/A (Interpretive)"
section,Section 23 - Wrongful Gain,This section defines 'wrongful gain' as gain by unlawful means of property to which the person gaining it is not legally entitled.. Punishment: N/A (Interpretive)
section,Section 24 - Wrongful Loss,This section defines 'wrongful loss' as the loss by unlawful means of property to which the person losing it is legally entitled.. Punishment: N/A (Interpretive)
section,Section 25 - Dishonestly,This section defines the mental state of acting 'dishonestly'. A person acts dishonestly if they do something with the intention of causing wrongful gain to one person or wrongful loss to another person.. Punishment: N/A (Interpretive - Element of an offence)
section,Section 26 - Fraudulently,This section defines the mental state of acting 'fraudulently'. A person acts fraudulently if they intend to defraud by deceiving another person. The intent to deceive is key.. Punishment: N/A (Interpretive - Element of an offence)
section,"Section 27 - Property in Possession of Wife, Clerk or Servant","This section states that when property is in the possession of a person's wife, clerk, or servant, on that person's account, the property is deemed to be in that person's possession.. Punishment: N/A (Interpretive)"
section,Section 28 - Counterfeit,"This section defines what it means to 'counterfeit'. A person is said to counterfeit who causes one thing to resemble another thing, intending to use it for deception or knowing it is likely to be used for deception.. Punishment: N/A (Interpretive - Element of an offence)"
section,Section 29 - Document,"This section defines a 'document' very broadly. It denotes any matter expressed or described upon any substance by means of letters, figures, or marks, intended to be used as evidence of that matter.. Punishment: N/A (Interpretive)"
section,Section 29A - Electronic Record,"This section defines 'Electronic Record' as data, record, or data generated, image or sound stored, received or sent in an electronic form.. Punishment: N/A (Interpretive)"
section,Section 30 - Valuable Security,"This section defines a 'valuable security' as a document that creates, extends, transfers, restricts, extinguishes, or releases any legal right, or which gives anyone a legal right to anything.. Punishment: N/A (Interpretive)"
section,Section 31 - A Will,"This section defines a 'Will' as any testamentary document, meaning any document that outlines how a person's property is to be distributed after their death.. Punishment: N/A (Interpretive)"
section,Section 32 - Words Referring to Acts Include Illegal Omissions,"This section states that throughout the Code, every word which refers to an 'act' done, also applies to an 'illegal omission' (a failure to perform a legal duty), unless the context suggests otherwise.. Punishment: N/A (Interpretive)"
section,Section 33 - Act / Omission,This section defines an 'act' as a single bodily movement and a series of bodily movements. It defines an 'omission' as a failure to perform a bodily movement one is legally obliged to perform.. Punishment: N/A (Interpretive)
section,Section 34 - Acts Done by Several Persons in Furtherance of Common Intention,"This section establishes the principle of joint liability. When a criminal act is done by several people in furtherance of a common intention, each person is liable for that act as if it were done by them alone.. Punishment: Each person is liable for the punishment of the offence committed."
section,Section 35 - When Such an Act is Criminal by Reason of its Being Done With a Criminal Knowledge or Intention,This section distinguishes offences that require a general criminal intention (mens rea) from those that require a specific intention. Liability depends on the intention or knowledge of the individual.. Punishment: Punishment as per the specific intention proved
section,Section 36 - Effect Caused Partly by Act and Partly by Omission,"This section states that wherever the causing of a certain effect is an offence, it is immaterial whether the effect was caused by an act, by an omission, or partly by act and partly by omission.. Punishment: Punishment as per the specific offence committed"
section,Section 37 - Co-operation by Doing One of Several Acts Constituting an Offence,"This section states that when an offence is committed by several acts, whoever intentionally co-operates in the commission of that offence by doing any one of those acts is considered to have committed the offence.. Punishment: Punishment as for the offence committed"
section,Section 38 - Persons Concerned in Criminal Act May Be Guilty of Different Offences,"This section clarifies that where several people are engaged in a criminal act, they may each be guilty of different offences based on their individual intentions and actions.. Punishment: Punishment as per the individual offence committed"
section,Section 39 - Voluntarily,"This section defines the key term 'voluntarily'. A person is said to cause an effect 'voluntarily' when they cause it by means whereby they intended to cause it, or by means which they knew were likely to cause it.. Punishment: N/A (Interpretive - Element of an offence)"
