act_name,act_year,description,common_use_cases,important_sections
"Indian Penal Code (IPC)",1860,"The primary criminal code of India, defining crimes and prescribing punishments.","Murder, theft, cheating, assault, rape, criminal breach of trust.","302, 376, 420, 379, 406"
"Code of Criminal Procedure (CrPC)",1973,"The main legislation on procedure for administration of substantive criminal law in India.","Arrest, bail, investigation, trial process, jurisdiction of courts.","41, 437, 438, 156, 173, 227, 228, 313"
"Indian Evidence Act",1872,"A comprehensive statute governing the admissibility of evidence in Indian courts.","Rules for witness testimony, documentary evidence, expert opinions, burden of proof.","3, 101-114, 45, 65, 73"
"Indian Contract Act",1872,"Governs the law relating to contracts in India.","Formation of contracts, sale of goods, partnership agreements, breach of contract.","10, 2(h), 73, 74, 122-124"
"Hindu Marriage Act",1955,"Codifies the law relating to marriage among Hindus.","Divorce, restitution of conjugal rights, judicial separation, nullity of marriage.","5, 9, 13, 13B, 24, 25"
"Hindu Succession Act",1956,"Codifies the law relating to intestate succession among Hindus.","Inheritance rights, succession property, will and testament, coparcenary.","6, 8, 15, 30"
"Negotiable Instruments Act",1881,"Defines law relating to promissory notes, bills of exchange and cheques.","Cheque bounce, dishonour of bills, liability of parties.","138, 118, 130"
"Code of Civil Procedure (CPC)",1908,"The procedural law relating to administration of civil proceedings in India.","Filing a civil suit, injunctions, appeals, execution of decrees.","9, 10, 11, 151, Order 39 Rule 1 & 2"
"Transfer of Property Act",1882,"Governs the law relating to transfer of property in India.","Sale, mortgage, lease, gift, and exchange of immovable property.","5, 54, 58, 105, 122"
"Arbitration and Conciliation Act",1996,"Consolidates and amends the law relating to domestic and international arbitration.","Enforcement of arbitration agreements, setting aside arbitral awards.","7, 8, 9, 34, 36"
"Protection of Women from Domestic Violence Act (PWDVA)",2005,"Provides protection and relief to women from domestic violence.","Obtaining protection orders, residence orders, monetary relief.","2(f), 12, 17, 18, 19, 20, 23"
"Information Technology Act (IT Act)",2000,"Provides legal recognition for electronic transactions and digital signatures.","Cyber crimes, data protection, electronic evidence, hacking.","43, 66, 66C, 66D, 67, 67A, 67B, 69, 69A"
"Right to Information Act (RTI)",2005,"Empowers citizens to seek information from public authorities.","Seeking government documents, transparency in governance.","6, 7, 8, 19, 20"
"Arms Act",1959,"Regulates the possession, acquisition, and manufacture of arms and ammunition.","Applying for an arms license, illegal possession of firearms.","3, 25, 27, 30"
"Motor Vehicles Act (MVA)",1988,"Regulates everything related to motor vehicles and road transport.","Traffic violations, driving licenses, accident claims, insurance.","3, 4, 130, 146, 166, 184"
"Companies Act",2013,"Regulates incorporation, responsibilities, and dissolution of a company.","Company formation, director duties, shareholder rights, mergers.","2, 12, 149, 164, 188, 241, 245"
"Consumer Protection Act (CPA)",2019,"Protects the interests of consumers and establishes consumer councils.","Filing complaints against defective goods, deficient services.","2, 35, 39, 47, 59"
"Prevention of Corruption Act",1988,"Comprehensive legislation to combat corruption in government agencies.","Bribery, embezzlement by public servants, disproportionate assets.","7, 13(1)(d), 13(2)"
"Indian Forest Act",1927,"Consolidates the law relating to forests, transit of forest produce.","Illegal logging, trespassing in reserved forests, forest offences.","2, 20, 26, 33, 41"
"Wild Life (Protection) Act",1972,"Provides for the protection of wild animals, birds and plants.","Poaching, illegal trade in wildlife, declaration of sanctuaries.","2, 9, 39, 44, 50, 51"
"Environment (Protection) Act (EPA)",1986,"Umbrella legislation for the protection and improvement of the environment.","Handling of hazardous waste, industrial pollution, coastal regulation.","3, 5, 7, 15"
"Drugs and Cosmetics Act",1940,"Regulates the import, manufacture, distribution and sale of drugs & cosmetics.","Sale of adulterated/spurious drugs, clinical trials, licensing.","3, 17, 17A, 17B, 18, 27"
"Food Safety and Standards Act (FSSA)",2006,"Consolidates laws relating to food and establishes the FSSAI for regulation.","Sale of adulterated food, misbranded products, licensing for food business.","3, 26, 50, 59"
"Income Tax Act",1961,"Governs the levy, administration, collection and recovery of Income Tax.","Income tax returns, tax assessment, penalties for evasion.","2, 4, 5, 9, 10, 80C, 139(1), 143(1), 271(1)(c)"
"Goods and Services Tax Act (GST)",2017,"A comprehensive indirect tax on manufacture, sale and consumption of goods & services.","GST registration, filing returns, input tax credit, anti-profiteering.","2, 7, 9, 16, 29, 122, 132"
"Central Goods and Services Tax Act (CGST)",2017,"Governs the GST tax levied by the Central Government on intra-state supplies.","Same as GST, but specifically for the central portion of the tax.","Same as key GST sections, applied by the Centre."
"Integrated Goods and Services Tax Act (IGST)",2017,"Governs the GST tax levied by the Central Government on inter-state supplies.","Inter-state trade, imports, exports.","Same as key GST sections, applied on inter-state transactions."
"Protection of Children from Sexual Offences Act (POCSO)",2012,"Provides a robust legal framework for the protection of children from sexual abuse and exploitation.","Sexual assault, harassment, pornography involving a child.","2, 3, 4, 5, 6, 7, 9, 19, 29, 30, 33"
"Juvenile Justice (Care and Protection of Children) Act",2015,"Comprehensive law for juveniles in conflict with law and children in need of care.","Rehabilitation of juveniles, adoption processes, child protection.","2, 3, 12, 15, 74"
"Maternity Benefit Act",1961,"Regulates the employment of women in certain establishments for certain periods before and after childbirth.","Paid maternity leave, nursing breaks, protection from dismissal.","3, 5, 6, 9, 12"
"Payment of Gratuity Act",1972,"Provides for a scheme for the payment of gratuity to employees working in establishments.","Payment of gratuity upon retirement, resignation, death, or disablement.","2, 4, 7"
"Employees' Provident Funds and Miscellaneous Provisions Act (EPF)",1952,"Seeks to provide financial security and stability to the industrial worker.","Provident fund contributions, pension scheme, insurance benefits.","2, 6, 7A, 14"
"Employees' State Insurance Act (ESI)",1948,"Provides for certain benefits to employees in case of sickness, maternity and employment injury.","Medical benefit, sickness benefit, maternity benefit, disablement benefit.","2, 38, 39, 46, 51, 52, 56"
"Industrial Disputes Act",1947,"Provides for the investigation and settlement of industrial disputes.","Layoffs, retrenchment, strikes, lockouts, unfair labour practices.","2, 9A, 10, 25F, 25G, 25H, 33"
"Trade Unions Act",1926,"Provides for the registration of trade unions and defines law relating to registered trade unions.","Formation and registration of trade unions, their rights and liabilities.","2, 3, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20"
"Specific Relief Act",1963,"Provides remedies for persons whose civil or property rights have been violated.","Specific performance of contracts, injunctions, recovery of possession.","5, 6, 9, 10, 34, 36, 37, 38, 39, 40"
"Limitation Act",1963,"Prescribes the time limit for different suits, appeals, and applications.","Filing a suit after the expiry of the limitation period.","3, 5, 12, 14"
"Indian Stamp Act",1899,"Provides for the levy of stamp duties on instruments recording transactions.","Proper stamping of documents like agreements, deeds, receipts.","2, 17, 33, 35, 40"
"Registration Act",1908,"Provides for the registration of various documents to ensure authenticity and public notice.","Registration of sale deeds, wills, gift deeds, power of attorney.","17, 18, 28, 34, 49"
"Legal Services Authorities Act",1987,"Provides for the constitution of legal services authorities to provide free legal services.","Free legal aid, Lok Adalats (people's courts), settlement of disputes.","2, 12, 19, 20, 22"
"National Security Act (NSA)",1980,"Allows for preventive detention of individuals to prevent them from acting in any manner prejudicial to national security.","Preventive detention to maintain public order, national security.","3, 8, 10, 13"
"Unlawful Activities (Prevention) Act (UAPA)",1967,"Aimed at effective prevention of unlawful activities associations in India.","Terrorism, secessionist activities, banning unlawful associations.","2, 3, 7, 10, 13, 15, 16, 17, 18, 18A, 18B, 43A, 43B, 43D"
