question,answer,intent
Can a woman get free legal aid?,"Yes, all women are entitled to free legal aid regardless of income.",legal_aid_for_women
Can you help me with: 32. Can an application for grant of legal services be made by a person on behalf of another based on a general power of attorney??,"Generally no. The application for legal aid has to be made in person generally and not through an authorized representative (except in cases of children or person with mental illness). The legal aid application has to be accompanied by the Affidavit sworn by the person seeking grant of legal aid (when a person is claiming free legal aid based on annual income criteria) and such an Affidavit cannot be made on behalf of some other person. However, in some cases, if the person seeking legal aid is incapacitated for some reason to apply in person for legal aid, his duly authorized representative/ person holding his General Power of Attorney may apply for legal aid.",general_legal_service
8. How is free legal aid different from legal advice and assistance?,"Legal aid is the provision of legal representation to a person in the District Courts, High Courts and Supreme Court or tribunals, by a lawyer assigned by the Legal Service Authority concerned.Legal Advice and Assistance is the provision of advice on general areas of law as governed by the laws of India by the lawyers employed with the Legal Services Institution concerned. For e.g. if a person has to file a case in court, he would be provided legal aid (in form of assignment of a Legal Services Advocate). However, if he only needs some help in drafting a legal notice to be sent prior to filing of a complaint under Section 138 of the Negotiable Instruments Act 1881, he would get legal consultation/ advice regarding the same. A person who does not come under the purview of Section 12 of Legal Services Authorities Act, 1987, to be eligible for free legal aid, can still avail legal advice and assistance from the Legal Services Institutions.",legal_aid_info
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
What is the process for filing a charge sheet?,The police prepare a charge sheet after completing the investigation and submit it to the court.,filing_chargesheet
What are the steps involved in 72.	how can one file an application before the permanent lok adalats for public utility services??,"An application can be filed before the Permanent Lok Adalats for Public Utility Services on a plain paper depicting the true and correct facts and the details of the person/Authority/public utility services provider against whom relief is claimed, on any working day. Such an application should however, be accompanied by supporting documents and copies to be furnished to the opposite party.",lok_adalat_info
"Help me know about: 31. If a person has an annual income which is more than the amount prescribed under the Legal Services Authorities Act/ extant rules in this regard in the different states, can he still get free legal aid if he falls within any other category of beneficiaries enlisted in Section 12 of the Legal Services Authorities Act?","Yes. If he falls within any other category mentioned in Section 12 of the Legal Services Authorities Act, 1987. For e.g. a man from the Scheduled Tribe, even if he is earning Rs. 10 lakhs per annum, is eligible for free legal aid.",legal_aid_info
What is the procedure for: 67.	what is a permanent lok adalat??,It is an inexpensive forum for amicable resolution of a dispute between an aggrieved person and a Public Utility Service provider.,lok_adalat_info
Please explain: 18. Till what age is a child eligible for free legal aid?,"A child is eligible for free legal aid till the age of majority i.e. 18 years. This is provided in Section 12 (c) of the Legal Services Authorities Act, 1987. So, any child can apply for free legal aid till he turns 18 years old. Even on attaining the age of majority, the child can continue to get free legal aid, if she/ he falls within the other criteria enlisted in Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
Can you help me with: 20. Can a child being prosecuted for a criminal offence be provided free legal aid??,A child alleged to be in conflict with law is entitled to free legal aid.,legal_aid_info
Can you help me with: 36. Can a wealthy businessman who is in custody in a case of cheating be given free legal aid??,"A person who is facing criminal trial and is in police/ judicial custody is entitled to get free legal aid irrespective of his financial status or social standing. There is no bar under Section 12 of the Legal Services Authorities Act, 1987 to provide Free Legal Aid to a wealthy businessman if he happens to be a prisoner.",legal_aid_info
Help me know about: 43.	Who is a Legal Aid Defence Counsel?,Legal Aid Defence Counsels are appointed by the District Legal Services Authority to provide legal representation in criminal matters within the district. They are attached to the Legal Aid Defence Counsel office and are dedicated only to provide legal aid services i.e. they cannot take up any private legal cases. They are neither Government pleaders or advocates nor public servants.,legal_aid_info
Legal guidance needed: 11. Are there any Helpline Services provided by NALSA for urgent legal assistance?,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.,general_legal_info
What is Section 498A?,It protects women from cruelty by husband or relatives under Indian Penal Code.,section_498a_info
30.What is the income parameter for grant of legal aid to a person?,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit.",legal_aid_info
What are the steps involved in 10. does one have to pay any charge/fee for acquiring or submitting an application form for free legal aid??,"No, there is absolutely no charge for getting or submitting an application form for free legal aid.",legal_aid_info
Help me know about: 54.	Will the information given by a legal aid applicant be safe and privileged with the Legal Services Institutions?,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential.",legal_aid_info
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
Help me know about: 18. Till what age is a child eligible for free legal aid?,"A child is eligible for free legal aid till the age of majority i.e. 18 years. This is provided in Section 12 (c) of the Legal Services Authorities Act, 1987. So, any child can apply for free legal aid till he turns 18 years old. Even on attaining the age of majority, the child can continue to get free legal aid, if she/ he falls within the other criteria enlisted in Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
"I want to understand 25. is a person who is in custody, including custody in a protective home or in a psychiatric hospital or psychiatric nursing home eligible for free legal aid?","Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
Please explain: 60.	When can legal aid be denied or withdrawn?,"Legal Aid can be denied at the initial stage before the application for legal aid is accepted. It can also be withdrawn at the later stage after the application has been accepted and legal aid has been provided. Legal aid can be denied or withdrawn in the following circumstances:Legal aid can be denied if a person is found ineligible under Section 12 of the Legal Services Authorities Act, 1987;Legal aid can be withdrawn if the aided person who applied under the income category is found to possess sufficient means;Legal aid can be withdrawn where the aided person obtained legal services by misrepresentation or fraud;Legal aid can be withdrawn where the aided person does not cooperate with the Legal Services Institution or with the Legal Services Advocate;Legal aid can be withdrawn where the person engages a legal practitioner other than the one assigned by the Legal Services Institution;Legal aid can be withdrawn in the event of death of the aided person except in the case of civil proceedings where the right or liability survives;Legal aid can be withdrawn where the application for legal service or the matter in question is found to be an abuse of the process of law or of legal services.Regulation 6 of the National Legal Services Authority (Free And Competent Legal Services) Regulations, 2010 provides that the applicant shall be informed that if free legal services have been obtained by furnishing incorrect or false information or in a fraudulent manner, the legal services shall be stopped forthwith and that the expenses incurred by the Legal Services Institutions shall be recoverable from him or her.",legal_aid_info
Can you help me with: 44.	Who are para-legal volunteers??,Paralegal volunteers (PLVs) are volunteers selected from diverse social and educational backgrounds through the process of NALSA’s Para-Legal Volunteers Scheme. They are expected to act as intermediaries in bridging the gap between the common people and the Legal Services Institutions reaching out to the people at their doorsteps.,general_legal_info
What should I do for: 70.	what type of disputes in public utility services the permanent lok adalats for public utility services would decide??,"The Permanent Lok Adalats for Public Utility Services would decide disputes relating to deficiency in service, claims for damages/ compensation, recovery of money, etc., pertaining to all Public Utility services.",lok_adalat_info
Help me know about: 85.	What role does NALSA and other Legal Services Institutions play in promoting legal aid awareness in schools and colleges?,"They organize programs in educational institutions to enhance legal awareness among students, ensuring a foundation of legal knowledge from an early age. It conducts awareness programs such as legal literacy workshops and seminars in schools and colleges. It engages students in interactive sessions using Acts and presentations. It also distributes informative brochures and pamphlets about child rights. Various legal service clinics are also established in schools and colleges.",legal_aid_info
How do I go about 22. is a person with mental illness eligible for grant of free legal aid??,"Yes. Section 12 (d) of the Legal Services Authorities Act, 1987, provides for the same.",legal_aid_info
What is the procedure for: 4. what are the district legal services authorities and the taluka legal services committees? what are their roles and responsibilities??,"Section 9 of the Legal Services Authorities Act, 1987, provides for the constitution of the District Legal Services Authorities (DLSAs) by the State Government, in consultation with the Chief Justice of the High Court, for every District in the State, to exercise the powers and perform the functions conferred on, or assigned to, the DLSA under Sections 10 and 11 of the Legal Services Authorities Act, 1987. The DLSA is headed by the District & Sessions Judge of the respective district as the Chairman, DLSA.Similarly, Section 11A of the Legal Services Authorities Act, 1987, provides for the constitution of the Taluka Legal Services Committees (TLSC) by the State Authority for each Taluka or mandal or for a group of Talukas or mandals, to exercise the powers and perform the functions conferred on, or assigned to them, under Section 11B of the Legal Services Authorities Act, 1987. The TLSC is headed by the senior Civil Judge operating within its jurisdiction as the ex-officio Chairman.As per Sections 10 and 11 of the Legal Services Authorities Act, 1987, it shall be the duty of every DLSA to perform such of the functions of the State Authority in the District as may be delegated to it from time to time by the State Authority. The DLSA may perform all or any of the following functions, namely:Coordinate the activities of the TLSC and other legal services in the District;Organize Lok Adalats within the District;Perform such other functions as the State Authority may fix by regulations.The DLSAs are expected to act in coordination with other agencies and be subject to directions given by the NALSA, for promoting the cause of legal services to the poor.As per Section 11B of the Legal Services Authorities Act, 1987, it shall be the duty of every TLSC to:Co-ordinate the activities of legal services in the Taluka;Organize Lok Adalats within the Taluka; andPerform such other functions as the DLSA may assign to it.",general_legal_service
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
What should I do for: 11. are there any helpline services provided by nalsa for urgent legal assistance??,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.,general_legal_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What is the procedure for: 82.	what is mediation??,"Mediation is a non-binding negotiation process in which a neutral third person facilitates the parties to the dispute in arriving at a mutually acceptable settlement. The process is informal where the outcome of the dispute is controlled by the parties themselves. The entire process is confidential. Civil cases, matrimonial and family disputes are best suited for mediation.",mediation
Help me know about: 58.	Can one appeal if the application for free legal services is rejected?,"According to Regulation 7(5) of the National Legal Services Authority (Free and Competent Legal Services) Regulations 2010, the application for legal services will be scrutinized by the Member-Secretary or the Secretary and if any individual is aggrieved by the decision made upon their application, he/she has an option to appeal to the Executive Chairman or Chairman of the Legal Services Institution and the decision resulting from the appeal would be a final one.",general_legal_service
What should I do for: 57.	what is the procedure after an application for legal aid is allowed??,"Once the application is allowed, the applicant is given intimation about the assignment of a lawyer. A letter of appointment is also issued to the assigned lawyer with a copy to the applicant. The lawyer would thereafter contact the applicant at the earliest. The applicant may also contact the lawyer in the meanwhile.",legal_aid_info
