term,definition,example
"Cognizable Offence","A serious crime where police can arrest without a warrant and start investigation immediately without court permission.","Murder (S.302 IPC), Rape (S.376 IPC), Robbery (S.392 IPC) are cognizable offences where police can arrest immediately."
"Non-Cognizable Offence","A less serious crime where police cannot arrest without warrant and need court permission to investigate.","Simple hurt (S.323 IPC), Defamation (S.500 IPC), or public nuisance are non-cognizable offences requiring court order for investigation."
"Bailable Offence","A crime where accused has right to be released on bail after arrest, either by police or court.","Being member of unlawful assembly (S.143 IPC) or simple hurt (S.323 IPC) are bailable offences where bail is matter of right."
"Non-Bailable Offence","A serious crime where getting bail is not automatic but depends on court's discretion based on case facts.","Murder (S.302 IPC), Dowry death (S.304B IPC), Rape (S.376 IPC) are non-bailable offences where court decides bail."
"First Information Report (FIR)","The first written complaint about a cognizable offence recorded by police, which starts criminal investigation.","When theft occurs, victim's complaint recorded as FIR under S.379 IPC at police station initiates investigation."
"Anticipatory Bail","Pre-arrest bail granted by court when person fears arrest, directing police to release them if arrested.","Under S.438 CrPC, person fearing false accusation in cheating case (S.420 IPC) can get anticipatory bail before arrest."
"Regular Bail","Bail granted to person already arrested and in custody, either by police station or court.","Under S.437 CrPC, arrested person in theft case (S.379 IPC) can apply for regular bail in court."
"Interim Bail","Temporary bail granted for short period pending final decision on regular or anticipatory bail application.","Court may grant 7-day interim bail in assault case (S.352 IPC) while considering main bail application."
"Default Bail","Automatic bail right when police fail to complete investigation and file chargesheet within stipulated time.","Under S.167(2) CrPC, accused gets default bail if police don't file chargesheet within 90 days for serious offences."
"Bail Bond","Legal document where accused and sureties promise court that accused will appear for trial when required.","For bail in theft case, accused and two sureties sign Rs. 25,000 bond promising court attendance."
"Surety","Person who guarantees to court that accused will comply with bail conditions and appear for trial.","Father acts as surety for son accused in fight case, risking his own money if son misses court dates."
"Personal Bond","Accused's own promise to court to appear for trial without needing sureties, based on personal credibility.","In minor offences, court may release accused on personal bond of Rs. 10,000 without sureties."
"Charge Sheet","Final police report after investigation containing evidence and charges against accused, filed in court.","After completing theft investigation, police file chargesheet under S.379 IPC with evidence list."
"Summons","Court order directing person to appear before it as accused or witness on specified date and time.","Court issues summons to accused in cheque bounce case (S.138 NI Act) to appear for hearing."
"Warrant","Court order authorizing police to arrest person and produce them before court.","When accused avoids court appearances, magistrate issues arrest warrant under S.70 CrPC."
"Non-Bailable Warrant","Court order for immediate arrest where bail cannot be granted by police and must be sought from court.","In serious offences like murder, court issues non-bailable warrant requiring accused to be produced in custody."
"Culpable Homicide","Causing death with intention to cause death or knowledge that act is likely to cause death.","Pushing someone from height knowing it may cause death amounts to culpable homicide under S.299 IPC."
"Murder","Culpable homicide committed with intention to cause death or bodily injury likely to cause death.","Intentionally shooting someone in head amounts to murder under S.300 IPC punishable under S.302 IPC."
"Dowry Death","Death of woman within 7 years of marriage caused by burns/bodily injury with dowry harassment evidence.","Bride's death by poisoning with evidence of dowry demands falls under S.304B IPC."
"Cheating","Dishonestly deceiving person to deliver property or consent to retaining property.","Selling fake gold jewelry as real gold constitutes cheating under S.415 IPC punishable under S.420 IPC."
"Theft","Dishonestly taking movable property out of person's possession without consent.","Taking phone from someone's pocket without knowledge amounts to theft under S.378 IPC."
"Robbery","Theft or extortion where offender causes or attempts to cause death/hurt/fear of instant hurt.","Snatching chain while pushing victim constitutes robbery under S.390 IPC."
"Dacoity","Robbery committed by five or more persons acting together.","Five people jointly attacking and looting jewelry shop amounts to dacoity under S.391 IPC."
"Criminal Breach of Trust","Dishonestly misappropriating property entrusted to oneself.","Warehouse keeper selling stored goods instead of safeguarding them breaches trust under S.405 IPC."
"Affidavit","Written statement confirmed by oath/affirmation before authorized officer, used as evidence.","Witness files affidavit stating what they saw, sworn before notary public for court case."
"Alibi","Defense claim that accused was elsewhere when crime occurred, making commission impossible.","Accused proves he was in different city through hotel bills and CCTV footage when crime occurred."
"Burden of Proof","Obligation to prove facts in dispute; generally on prosecution in criminal cases.","Prosecution must prove accused's guilt beyond reasonable doubt in murder trial."
"Beyond Reasonable Doubt","High standard of proof required for criminal conviction where no logical doubt remains.","In rape case, DNA evidence and victim testimony together establish guilt beyond reasonable doubt."
"Cross-Examination","Questioning of witness by opposite party to test truthfulness and accuracy of testimony.","Defense lawyer questions prosecution witness about inconsistencies in theft incident description."
"Examination-in-Chief","Initial questioning of witness by party who called them, to present their version of facts.","Prosecutor questions victim about how robbery occurred and what was stolen."
"Hostile Witness","Witness who testifies against party who called them or becomes uncooperative in court.","Prosecution witness unexpectedly supports defense version despite earlier statements to police."
"Circumstantial Evidence","Indirect evidence from which main fact can be inferred through logical reasoning.","Accused's fingerprints on weapon and running from crime scene are circumstantial evidence of murder."
"Direct Evidence","Evidence that directly proves fact without needing inference, like eyewitness testimony.","Witness testifying 'I saw A stab B' provides direct evidence of assault."
"Arrest","Taking person into legal custody, depriving them of liberty for investigation/trial.","Police arrest theft suspect caught red-handed under S.41 CrPC."
"Police Custody","Detention of accused in police lock-up for investigation purposes with court permission.","Court grants 3 days police custody for interrogation in kidnapping case."
"Judicial Custody","Detention of accused in jail under court orders during trial period.","After police custody ends, accused sent to judicial custody till trial completion."
"Remand","Court order sending accused back to custody (police or judicial) after production in court.","Magistrate grants 2 days police remand for further investigation in robbery case."
"Compoundable Offence","Crime where complainant can compromise with accused and withdraw case with court permission.","Hurt cases (S.324 IPC) are compoundable where parties can settle with court approval."
"Non-Compoundable Offence","Serious crime where compromise not allowed and state must prosecute case.","Murder (S.302 IPC) and rape (S.376 IPC) are non-compoundable offences."
"Acquittal","Court finding accused not guilty and releasing them from charges after trial.","After full trial, court acquits accused due to lack of evidence under S.232 CrPC."
"Conviction","Court finding accused guilty and imposing punishment after trial.","Court convicts accused under S.304 IPC and sentences to 10 years imprisonment."
"Cognizance","Magistrate taking judicial notice of offence and deciding to start proceedings.","Magistrate takes cognizance of fraud case based on police chargesheet under S.190 CrPC."
"Plea Bargaining","Accused pleading guilty in exchange for lesser charge/sentence with court permission.","In theft case, accused pleads guilty for reduced sentence under S.265A CrPC."
"Habeas Corpus","Court order to produce detained person to examine legality of detention.","Family files habeas corpus petition when person missing after police detention."
"Abetment","Instigating, conspiring or intentionally aiding commission of crime.","Providing weapon knowing it will be used for murder amounts to abetment under S.109 IPC."
"Attempt","Act done with intention to commit crime but falling short of completion.","Pointing loaded gun and pulling trigger but gun jams is attempt to murder under S.307 IPC."
"Common Intention","Shared plan among group to commit criminal act, making all liable for actions.","Five people planning robbery together are all liable for murder if one kills guard under S.34 IPC."
"Right to Private Defence","Right to use reasonable force to protect oneself or property against imminent attack.","Using force to prevent burglar from entering house is private defence under S.96 IPC."
"Documentary Evidence","Evidence in document form like contracts, letters, receipts presented in court.","Forged cheque presented as evidence in cheating case under S.3 Evidence Act."
