section_number,section_title,description,example_use_cases,punishment
1,"Title and Extent of the Code","This section provides the official title of the law - 'The Indian Penal Code' - and specifies its geographical extent of application across the territory of India, unless otherwise specified by law.","Determining if the IPC applies to a crime committed in the Andaman and Nicobar Islands; Establishing jurisdiction for a crime on an Indian-registered ship.","N/A (Interpretive)"
2,"Punishment of Offences Committed Within India","This section establishes the principle of territorial jurisdiction. It states that every person shall be liable to punishment under the Code for any act or omission contrary to its provisions, committed within India.","Charging a foreign tourist who commits theft in Delhi; Prosecuting a person for assault in Mumbai.","Punishment as per the specific offence committed"
3,"Punishment of Offences Committed Beyond, But Which by Law May Be Tried Within India","This section extends the Code's jurisdiction to offences committed by any person beyond the borders of India, which by Indian law can be tried within India.","Trying an Indian citizen for piracy committed in international waters; Prosecuting a person for targeting a computer system located in India from abroad.","Punishment as per the specific offence committed"
4,"Extension of Code to Extra-Territorial Offences","This section elaborates on Section 3, specifying that the Code applies to any citizen of India anywhere in the world, any person on a ship or aircraft registered in India, and any person targeting a computer resource in India.","An Indian citizen commits murder in the USA and is found in India; A person on an Air India flight commits assault mid-flight over another country.","Punishment as per the specific offence committed"
5,"Certain Laws Not to Be Affected by This Act","This section clarifies that the IPC does not repeal other special or local laws. It states that the provisions of the IPC are in addition to, and not in derogation of, any other law in force.","A soldier being tried under both the IPC for murder and the Army Act for misconduct; A company being prosecuted under both the IPC for fraud and the Companies Act for compliance failures.","N/A (Interpretive)"
6,"Definitions in the Code to Be Understood Subject to Exceptions","This section is an interpretive rule. It states that every definition of an offence, every penal provision, and every illustration in the Code shall be understood subject to the general exceptions contained in Chapters IV (Sections 76-106).","Understanding that 'voluntarily causing hurt' is subject to exceptions like self-defence or consent in a sports match.","N/A (Interpretive)"
7,"Sense of Expression Once Explained","This section states that every expression which is explained in any part of the Code is to be used in the same sense throughout the Code, unless the context indicates otherwise.","The term 'dishonestly' (defined in S.24) carries the same meaning when used in theft, cheating, or criminal breach of trust.","N/A (Interpretive)"
8,"Gender","This section clarifies that unless the context suggests otherwise, the pronoun 'he' and its derivatives (him, his) used in the Code refer to any person, whether male, female, or a non-binary individual.","A woman can be charged with 'voluntarily causing hurt' using the same section that uses the pronoun 'he'.","N/A (Interpretive)"
9,"Number","This section states that unless the context indicates otherwise, words in the singular include the plural, and words in the plural include the singular.","A section stating 'a person is liable' applies to multiple persons; A charge of 'possessing stolen articles' can apply to a single article.","N/A (Interpretive)"
10,"Man / Woman","This section defines the terms 'man' and 'woman'. It states that the word 'man' denotes a male human being of any age, and the word 'woman' denotes a female human being of any age.","Determining the applicability of sections related to rape (which can only be committed against a 'woman'); Using the correct terminology in chargesheets.","N/A (Interpretive)"
11,"Person","This section defines the term 'person'. It includes any company, association, or body of persons, whether incorporated or not. This allows for corporate criminal liability.","Prosecuting a company for environmental pollution under the IPC; Charging an unincorporated partnership with fraud.","Punishment as per the specific offence committed (often a fine)"
12,"Public","This section defines the word 'public' as including any class of the public or any community.","Determining if a statement made to a specific ethnic group constitutes 'public mischief'; Whether a gathering is a 'public' assembly.","N/A (Interpretive)"
13,"Queen","[Repealed] This section, which originally referred to the British monarch, has been omitted from the Code.","N/A","N/A"
14,"Servant of Government","This section defines who is considered a 'servant of Government' or a 'public servant'. It includes officials like judges, military personnel, police officers, and any officer whose duty is to prevent offences, etc.","Charging a corrupt municipal officer under prevention of corruption laws; A traffic policeman is considered a public servant on duty.","N/A (Interpretive)"
15,"British India","[Repealed] This section, which defined the territories of British India, has been omitted.","N/A","N/A"
16,"Government of India","[Repealed] This section, which referred to the British government, has been omitted.","N/A","N/A"
17,"Government","This section defines 'Government' as referring to the Central Government or the Government of a State within the Republic of India.","A person waging war against the State Government of West Bengal is waging war against the 'Government'.","N/A (Interpretive)"
18,"India","This section defines 'India' as the territory of India, excluding the state of Jammu and Kashmir (note: this was pre-2019; post Article 370 abrogation, the IPC applies fully to J&K).","Establishing jurisdiction for a crime committed in Ladakh.","N/A (Interpretive)"
19,"Judge","This section provides a detailed definition of a 'Judge'. It includes not only every person who is officially designated as a Judge but also any person who is empowered by law to give a definitive judgment in any legal proceeding.","An arbitrator passing a binding order; A member of a tribunal; A magistrate conducting a trial.","N/A (Interpretive)"
20,"Court of Justice","This section defines a 'Court of Justice' as a judge or body of judges empowered by law to act judicially. It can be a single judge and does not require a formal courtroom.","A magistrate conducting a hearing in their chamber; A consumer forum passing an order.","N/A (Interpretive)"
21,"Public Servant","This section provides an exhaustive list of who is considered a 'public servant'. It includes government officials, judges, officers of the armed forces, police, jurors, and any person holding office to perform a public duty.","A school principal in a government school; A scientist in a government lab; An election officer during polls.","N/A (Interpretive)"
22,"Movable Property","This section defines 'movable property' as including corporeal property of every description (physical objects), except land and things attached to the earth or permanently fastened to anything attached to the earth.","Cash, jewellery, vehicles, livestock, stocks, bonds, a tree that has been cut down.","N/A (Interpretive)"
